class	time_point	avg_expression
ENSG00000196576.14	bending	H006	46.5458
ENSG00000168918.13	bending	H006	46.5767
ENSG00000089063.14	bending	H006	49.1846
ENSG00000141753.6	bending	H006	49.3404
ENSG00000141524.15	bending	H006	51.4554
ENSG00000168010.10	bending	H006	56.3338
ENSG00000118640.10	bending	H006	57.4212
ENSG00000131669.9	bending	H006	57.58
ENSG00000265972.5	bending	H006	60.175
ENSG00000007312.12	bending	H006	60.4104
ENSG00000186517.13	bending	H006	60.8829
ENSG00000250479.8	bending	H006	62.4517
ENSG00000123329.17	bending	H006	63.1471
ENSG00000137841.11	bending	H006	63.3692
ENSG00000196776.14	bending	H006	63.7779
ENSG00000182578.13	bending	H006	66.4133
ENSG00000072310.16	bending	H006	72.6629
ENSG00000130830.14	bending	H006	75.9621
ENSG00000178927.16	bending	H006	80.2992
ENSG00000178719.16	bending	H006	85.8242
ENSG00000111679.16	bending	H006	93.84
ENSG00000168961.16	bending	H006	98.9296
ENSG00000004399.12	bending	H006	155.9
ENSG00000184206.11	bending	H009	1.00833
ENSG00000165959.11	bending	H009	2.09875
ENSG00000082014.16	bending	H009	2.11583
ENSG00000115257.15	bending	H009	2.19625
ENSG00000171570.10	bending	H009	2.44958
ENSG00000229474.6	bending	H009	2.71417
ENSG00000099219.13	bending	H009	2.91917
ENSG00000100151.15	bending	H009	3.07583
ENSG00000125246.15	bending	H009	3.25833
ENSG00000145020.14	bending	H009	3.29417
ENSG00000050344.8	bending	H009	3.42625
ENSG00000124313.12	bending	H009	3.62042
ENSG00000049239.12	bending	H009	3.81917
ENSG00000175182.13	bending	H009	3.9
ENSG00000137474.19	bending	H009	4.14167
ENSG00000137842.6	bending	H009	4.39542
ENSG00000048471.13	bending	H009	4.60458
ENSG00000104953.18	bending	H009	4.70458
ENSG00000168071.21	bending	H009	4.78542
ENSG00000165804.15	bending	H009	4.91083
ENSG00000049089.13	bending	H009	5.03208
ENSG00000178467.17	bending	H009	5.13375
ENSG00000139192.11	bending	H009	5.37167
ENSG00000118257.16	bending	H009	5.42833
ENSG00000145029.11	bending	H009	5.58708
ENSG00000171130.17	bending	H009	5.64917
ENSG00000066923.17	bending	H009	5.86208
ENSG00000147364.16	bending	H009	6.34958
ENSG00000149131.15	bending	H009	6.44125
ENSG00000064687.12	bending	H009	7.31833
ENSG00000132199.18	bending	H009	7.40708
ENSG00000167632.14	bending	H009	7.505
ENSG00000178585.14	bending	H009	7.58875
ENSG00000188157.13	bending	H009	7.96083
ENSG00000163683.11	bending	H009	7.99125
ENSG00000103485.17	bending	H009	9.04583
ENSG00000166387.11	bending	H009	9.07792
ENSG00000185527.11	bending	H009	9.31292
ENSG00000173581.7	bending	H009	9.39042
ENSG00000110628.13	bending	H009	9.73083
ENSG00000072210.18	bending	H009	9.73208
ENSG00000125457.13	bending	H009	9.86792
ENSG00000157601.13	bending	H009	10.1312
ENSG00000172889.15	bending	H009	11.0971
ENSG00000165475.13	bending	H009	11.1512
ENSG00000149476.14	bending	H009	11.2
ENSG00000188677.14	bending	H009	11.2421
ENSG00000113552.15	bending	H009	11.6088
ENSG00000140398.13	bending	H009	11.7183
ENSG00000183828.14	bending	H009	11.865
ENSG00000102878.16	bending	H009	12.1246
ENSG00000128965.11	bending	H009	12.7558
ENSG00000173200.12	bending	H009	12.9
ENSG00000108405.3	bending	H009	14.2642
ENSG00000132386.10	bending	H009	15.6121
ENSG00000179364.13	bending	H009	15.6996
ENSG00000131558.14	bending	H009	15.93
ENSG00000126709.14	bending	H009	16.465
ENSG00000136286.14	bending	H009	18.4438
ENSG00000145687.15	bending	H009	18.7642
ENSG00000169189.16	bending	H009	20.3238
ENSG00000242574.8	bending	H009	20.3792
ENSG00000134330.18	bending	H009	20.9875
ENSG00000187608.8	bending	H009	22.5138
ENSG00000101439.8	bending	H009	24.7921
ENSG00000023892.10	bending	H009	26.3542
ENSG00000148341.17	bending	H009	28.1342
ENSG00000125148.6	bending	H009	28.6246
ENSG00000110011.13	bending	H009	29.5542
ENSG00000114779.19	bending	H009	30.0683
ENSG00000102882.11	bending	H009	31.8521
ENSG00000112799.8	bending	H009	33.2192
ENSG00000160796.16	bending	H009	34.3271
ENSG00000105612.8	bending	H009	34.7079
ENSG00000167642.12	bending	H009	37.1654
ENSG00000104894.11	bending	H009	43.7046
ENSG00000148180.17	bending	H009	48.2154
ENSG00000166681.13	bending	H009	48.5733
ENSG00000185885.15	bending	H009	53.9121
ENSG00000204257.14	bending	H009	63.66
ENSG00000155366.16	bending	H009	64.9088
ENSG00000186818.12	bending	H009	73.5142
ENSG00000042493.15	bending	H009	143.153
ENSG00000175567.8	bending	H009	158
ENSG00000117448.13	bending	H009	158.179
ENSG00000185201.16	bending	H009	539.737
ENSG00000116678.18	bending	H012	1.19833
ENSG00000283088.1	bending	H012	1.84
ENSG00000167972.13	bending	H012	1.88375
ENSG00000023171.14	bending	H012	2.32083
ENSG00000189283.9	bending	H012	2.63375
ENSG00000075651.15	bending	H012	2.65667
ENSG00000171766.15	bending	H012	2.66125
ENSG00000164463.12	bending	H012	3.35417
ENSG00000088367.20	bending	H012	3.65083
ENSG00000145390.11	bending	H012	3.89833
ENSG00000187210.12	bending	H012	4.26833
ENSG00000166908.17	bending	H012	4.41333
ENSG00000175895.3	bending	H012	4.91917
ENSG00000258644.5	bending	H012	5.41875
ENSG00000065060.16	bending	H012	5.45625
ENSG00000170113.15	bending	H012	7.2325
ENSG00000111674.8	bending	H012	7.43792
ENSG00000136404.15	bending	H012	9.26583
ENSG00000198315.10	bending	H012	11.2846
ENSG00000150347.14	bending	H012	11.51
ENSG00000064666.14	bending	H012	12.6138
ENSG00000188811.12	bending	H012	13.7467
ENSG00000215114.7	bending	H012	16.0733
ENSG00000145349.16	bending	H012	20.0162
ENSG00000170340.10	bending	H012	20.5992
ENSG00000137478.14	bending	H012	24.2038
ENSG00000109756.8	bending	H012	25.2496
ENSG00000120063.9	bending	H012	32.8508
ENSG00000117335.18	bending	H012	39.7188
ENSG00000090861.15	bending	H012	45.2671
ENSG00000113916.17	bending	H012	61.3442
ENSG00000128165.8	bending	H018	1.49875
ENSG00000226742.3	bending	H018	1.69625
ENSG00000021300.13	bending	H018	2.1875
ENSG00000188389.10	bending	H018	2.82583
ENSG00000107679.14	bending	H018	3.8075
ENSG00000145916.18	bending	H018	6.15208
ENSG00000174405.13	bending	H018	7.34375
ENSG00000156711.16	bending	H018	15.4038
ENSG00000104219.12	bending	H018	19.5771
ENSG00000187837.3	bending	H018	28.6125
ENSG00000137266.14	bending	H024	0.755
ENSG00000119681.11	bending	H024	0.887083
ENSG00000258677.2	bending	H024	1.6975
ENSG00000273802.2	bending	H024	1.76667
ENSG00000152433.14	bending	H024	1.79375
ENSG00000143801.16	bending	H024	2.65167
ENSG00000160223.16	bending	H024	3.04167
ENSG00000139266.5	bending	H024	3.20208
ENSG00000168528.11	bending	H024	3.36458
ENSG00000167083.6	bending	H024	3.73375
ENSG00000215788.9	bending	H024	3.85375
ENSG00000112149.9	bending	H024	15.3696
ENSG00000165092.12	bending	H036	0.625833
ENSG00000140470.13	bending	H036	1.03875
ENSG00000162496.8	bending	H036	1.335
ENSG00000184985.16	bending	H036	1.36875
ENSG00000154856.12	bending	H036	1.58792
ENSG00000140479.16	bending	H036	1.9
ENSG00000111266.8	bending	H036	3.22292
ENSG00000120549.16	bending	H036	3.29833
ENSG00000142178.7	bending	H036	3.38875
ENSG00000130821.15	bending	H036	3.96208
ENSG00000226979.8	bending	H036	3.9975
ENSG00000123700.4	bending	H036	4.1925
ENSG00000020577.13	bending	H036	4.51042
ENSG00000114554.11	bending	H036	4.95708
ENSG00000090104.11	bending	H036	5.7275
ENSG00000180694.13	bending	H036	6.18375
ENSG00000117090.14	bending	H036	9.92333
ENSG00000169136.8	bending	H036	42.3537
ENSG00000085063.14	bending	H036	59.3733
ENSG00000173068.17	bending	H048	1.15125
ENSG00000139899.10	bending	H048	1.415
ENSG00000102981.9	bending	H048	1.47875
ENSG00000145362.17	bending	H048	1.515
ENSG00000100307.12	bending	H048	1.62958
ENSG00000152409.8	bending	H048	1.75458
ENSG00000107518.16	bending	H048	2.20458
ENSG00000126368.5	bending	H048	2.6
ENSG00000111344.11	bending	H048	2.68708
ENSG00000170667.14	bending	H048	2.79083
ENSG00000113504.20	bending	H048	2.86
ENSG00000040608.13	bending	H048	2.95917
ENSG00000170899.10	bending	H048	3.32042
ENSG00000243335.8	bending	H048	3.61792
ENSG00000104177.17	bending	H048	4.07333
ENSG00000120949.14	bending	H048	4.12917
ENSG00000173402.11	bending	H048	4.385
ENSG00000167617.2	bending	H048	4.54667
ENSG00000165548.10	bending	H048	4.66
ENSG00000143772.9	bending	H048	4.7475
ENSG00000126353.3	bending	H048	4.83958
ENSG00000173706.12	bending	H048	4.99917
ENSG00000187994.13	bending	H048	5.24417
ENSG00000089177.17	bending	H048	5.73
ENSG00000137880.5	bending	H048	6.21167
ENSG00000135144.7	bending	H048	6.24708
ENSG00000166165.12	bending	H048	6.80542
ENSG00000174456.13	bending	H048	6.84167
ENSG00000087076.8	bending	H048	6.9375
ENSG00000072682.18	bending	H048	7.87333
ENSG00000134508.12	bending	H048	8.0175
ENSG00000133055.8	bending	H048	8.32042
ENSG00000105875.13	bending	H048	9.0725
ENSG00000213626.11	bending	H048	9.51625
ENSG00000114796.15	bending	H048	9.91583
ENSG00000186493.11	bending	H048	11.1771
ENSG00000107282.7	bending	H048	11.295
ENSG00000105808.17	bending	H048	12.6125
ENSG00000178764.7	bending	H048	20.6063
ENSG00000117091.9	bending	H048	24.2933
ENSG00000244405.7	bending	H048	32.8892
ENSG00000095015.5	bending	H048	36.6879
ENSG00000188042.7	bending	H048	37.1025
ENSG00000196839.12	bending	H048	59.9217
ENSG00000010278.11	bending	H048	472.367
ENSG00000144712.11	bending	H072	0.670417
ENSG00000153291.15	bending	H072	0.77125
ENSG00000241484.9	bending	H072	0.955
ENSG00000178852.15	bending	H072	1.10833
ENSG00000103460.16	bending	H072	1.12542
ENSG00000281028.1	bending	H072	1.24708
ENSG00000205464.11	bending	H072	1.52583
ENSG00000151240.16	bending	H072	1.60083
ENSG00000165617.14	bending	H072	1.65667
ENSG00000091513.14	bending	H072	2.025
ENSG00000120256.9	bending	H072	2.36542
ENSG00000204228.3	bending	H072	2.66333
ENSG00000123358.19	bending	H072	3.59
ENSG00000129993.14	bending	H072	4.00292
ENSG00000065989.15	bending	H072	4.07708
ENSG00000174738.12	bending	H072	4.2475
ENSG00000149809.14	bending	H072	4.89583
ENSG00000162413.16	bending	H072	4.93167
ENSG00000130702.13	bending	H072	5.26083
ENSG00000196267.12	bending	H072	5.47125
ENSG00000197536.10	bending	H072	6.17792
ENSG00000142512.14	bending	H072	6.33208
ENSG00000153933.9	bending	H072	6.66292
ENSG00000166432.14	bending	H072	6.82875
ENSG00000124406.16	bending	H072	6.83667
ENSG00000073605.18	bending	H072	6.83958
ENSG00000164684.13	bending	H072	7.0875
ENSG00000026950.16	bending	H072	7.3725
ENSG00000159685.10	bending	H072	7.68917
ENSG00000146072.6	bending	H072	7.84625
ENSG00000133597.9	bending	H072	7.9375
ENSG00000186812.12	bending	H072	8.04417
ENSG00000261052.5	bending	H072	9.06958
ENSG00000165948.10	bending	H072	9.18167
ENSG00000175287.18	bending	H072	9.45708
ENSG00000162591.15	bending	H072	9.685
ENSG00000178922.16	bending	H072	10.1662
ENSG00000176533.12	bending	H072	10.5658
ENSG00000108474.16	bending	H072	10.6583
ENSG00000240038.6	bending	H072	11.5662
ENSG00000148985.19	bending	H072	11.6492
ENSG00000243056.1	bending	H072	11.7775
ENSG00000163050.16	bending	H072	11.8338
ENSG00000213366.12	bending	H072	12.1167
ENSG00000271254.6	bending	H072	12.5317
ENSG00000075240.16	bending	H072	15.3296
ENSG00000133315.10	bending	H072	15.7854
ENSG00000118292.8	bending	H072	17.9158
ENSG00000122378.13	bending	H072	18.1817
ENSG00000184602.5	bending	H072	23.8233
ENSG00000112759.16	bending	H072	23.9625
ENSG00000142102.15	bending	H072	25.4404
ENSG00000182568.16	bending	H072	27.9958
ENSG00000092036.16	bending	H072	28.61
ENSG00000171425.9	bending	H072	29.3025
ENSG00000179583.17	bending	H072	29.9046
ENSG00000169246.16	bending	H072	38.4267
ENSG00000164649.19	bending	H072	39.2942
ENSG00000197119.12	bending	H072	42.6262
ENSG00000121966.6	bending	H072	67.1079
ENSG00000204387.12	bending	H072	223.666
ENSG00000105373.18	bending	H072	285.467
ENSG00000018869.16	bending	H120	2.33625
ENSG00000259132.1	bending	H120	5.72875
ENSG00000237541.3	bending	H120	9.685
ENSG00000196735.11	bending	H120	15.145
ENSG00000241360.1	bending	H120	16.9092
ENSG00000012124.14	bending	H120	62.8096
ENSG00000223865.10	bending	H120	80.6562
ENSG00000231389.7	bending	H120	171.499
ENSG00000204287.13	bending	H120	744.117
ENSG00000187556.7	downregulation	NA	0.455417
ENSG00000127249.14	downregulation	NA	0.4575
ENSG00000150764.13	downregulation	NA	0.4825
ENSG00000181104.6	downregulation	NA	0.490417
ENSG00000171016.11	downregulation	NA	0.49375
ENSG00000007171.16	downregulation	NA	0.49625
ENSG00000165730.14	downregulation	NA	0.499583
ENSG00000240583.10	downregulation	NA	0.499583
ENSG00000172733.11	downregulation	NA	0.507083
ENSG00000196549.10	downregulation	NA	0.521667
ENSG00000240204.2	downregulation	NA	0.535
ENSG00000135119.14	downregulation	NA	0.540833
ENSG00000158286.12	downregulation	NA	0.5425
ENSG00000154096.13	downregulation	NA	0.545417
ENSG00000073670.13	downregulation	NA	0.546667
ENSG00000149926.13	downregulation	NA	0.548333
ENSG00000170893.3	downregulation	NA	0.552083
ENSG00000146966.12	downregulation	NA	0.558333
ENSG00000134198.9	downregulation	NA	0.56625
ENSG00000162669.15	downregulation	NA	0.570833
ENSG00000169994.18	downregulation	NA	0.572083
ENSG00000183248.11	downregulation	NA	0.572917
ENSG00000181652.18	downregulation	NA	0.57625
ENSG00000102302.7	downregulation	NA	0.576667
ENSG00000133863.6	downregulation	NA	0.58
ENSG00000168824.14	downregulation	NA	0.596667
